part_number,manufacturer,price_field,quantity_field
H,13A,288.31,2303980
J,13A,267.41,2330480
K,13A,246.91,2332180
L,13A,225.01,2332280
P,13A,276.61,2341080
Q,13A,243.51,2341280
R,13A,246.91,2341480
S,13A,225.01,2341980
R,13E,311.21,2332380
S,13E,293.71,2342180
2,13F,307.81,9104580
3,13F,302.01,9104680
4,13F,305.81,9104780
5,13F,290.31,9104880
6,13F,305.81,9104980
7,13F,305.81,9105080
7,13H,379.91,11393
5,13M,210.41,2950080
6,13M,210.41,2950180
7,13M,210.41,2950280
8,13M,204.51,2949780
9,13M,210.41,2949880
0,13N,210.41,2949980
7,13N,616.71,7937980
6,13T,344.11,7937980
9,13V,409.11,6065880
0,13W,409.11,6101780
1,13W,409.11,6065680
2,13W,409.11,6100980
3,13X,341.91,6876180
4,13X,735.01,6876280
5,13X,735.01,6876380
5,189,194.31,11800000
6,189,182.11,11800000000
7,189,206.01,118000000000
6,18E,883.51,1180000000
5,18F,151.81,9044980
7,191,636.41,1748480
5,270,45.81,12740
8,273,31.71,12740
2,274,188.81,8940680
3,274,219.51,12749
9,274,293.51,2801280
0,275,994.51,8940680
2,275,772.41,8191080
7,275,828.31,8191080
H,30C,432.21,276380
Y,30C,97.51,90380
C,30E,427.61,6659380
E,30E,966.91,3126880
F,30E,406.71,32680
J,30E,441.91,3126780
L,30E,711.21,3126480
N,30E,978.01,3126280
A,30F,992.91,90380
C,30F,307.01,32980
8,312,126.11,3646180
3,323,123.21,13258
5,323,111.51,13275
6,323,110.61,13259
2,325,90.11,13257
6,325,55.51,4862280
2,326,92.51,13275
9,326,225.01,3211780
3,327,162.71,6248880
8,327,168.01,6248880
5,331,18.51,13316
6,370,31.61,13721
4,373,556.91,13740
7,374,393.21,137
1,375,520.81,13700000
3,375,636.61,137
5,375,137.31,13769
2,377,900.81,13749
4,377,803.91,13796
3,378,401.31,13799
3,37C,704.11,137000000000
4,37C,708.11,13700000
5,37C,708.11,13700000
1,37E,201.81,137
7,37E,110.92,6875980
4,621,477.82,16218
1,622,208.01,16218
2,622,1.81,16229
4,622,540.62,16218
8,631,89.61,16702
1,632,73.51,16393
3,635,255.71,24306
2,636,84.71,16783
4,638,155.81,16735
0,643,89.61,31338
4,645,108.61,16488
8,645,34.61,16488
5,646,62.31,16488
6,647,360.61,4391680
1,648,69.61,2805580
6,671,45.31,16393
3,673,151.01,6236380
9,673,171.41,6049780
6,677,50.71,16395
9,677,49.21,16782
0,678,46.31,16714
F,97A,676.21,5873180
G,97A,94.21,3497080
K,97A,275.01,5873180
L,97A,633.91,3497080
S,97A,302.41,5873180
T,97A,20.11,3497080
Z,97A,225.11,3497080
J,97C,72.31,6621680
K,97C,830.71,5873180
L,97C,639.01,5873180
N,97C,614.81,3497080
F,00C,588.32,7365980
W,00C,798.61,7365980
A,00G,110.91,4689880
Z,00G,827.91,4689880
8,046,348.71,20499
3,047,358.91,20498
0,049,253.31,2033280
6,049,261.01,2033280
2,04A,136.91,2800880
4,04A,76.91,2800880
6,04A,90.11,2033280
5,04C,75.51,2800880
3,055,41.91,8737980
7,055,115.91,2800880
7,060,7.81,20609
8,060,7.81,693508
E,091,771.81,4548280
J,09C,253.61,7399780
R,09E,769.81,3673380
Z,09E,389.11,7998080
C,09J,775.51,5885880
E,09J,817.41,3570980
L,09J,763.41,8923780
6,09W,92.21,7399780
0,09Y,685.11,7399580
2,112,77.91,8202080
1,121,25.31,21215
2,121,47.71,21217
1,27F,198.11,3636480
7,323,215.31,23244
5,346,56.51,23473
7,346,56.51,23474
4,350,189.51,23527
0,352,319.01,23527
1,353,71.01,23533
1,362,434.91,80732
1,367,6.31,2801580
3,367,454.41,23674
6,367,86.21,2801580
5,392,197.21,2855280
8,426,109.41,24285
8,427,482.21,24286
8,454,254.21,1583180
0,48Q,190.61,8419980
2,48Q,927.42,2071480
1,48T,382.21,8420380
4,49C,200.51,24900
7,503,169.01,25062
6,505,135.41,25085
8,505,13.61,25078
5,506,127.11,25087
8,506,23.91,1910480
1,509,25.81,6875880
8,509,107.11,695306
2,50A,564.51,6170080
7,50A,116.41,9598880
6,50C,114.01,1174780
2,584,591.71,25847
2,585,663.81,25849
5,585,172.41,25864
2,586,647.71,7038980
5,586,480.71,25869
7,586,781.21,7038980
4,58H,689.11,7038980
0,01K,449.51,3206580
5,01K,285.81,3973280
9,01L,440.81,3206580
1,01N,785.01,3973280
6,01N,691.71,5662380
9,01N,996.81,1789380
4,01P,643.32,2505780
9,045,655.91,3834580
0,046,318.01,7168080
1,112,94.51,31138
8,112,130.01,31138
4,113,43.81,31139
0,114,159.71,31138
3,133,9.31,2801680
5,133,710.91,1175580
0,134,68.71,2801680
Z,20A,484.01,2000480
G,20C,461.11,1999480
5,20R,103.11,4212280
2,20Y,497.31,1858580
7,20Y,306.71,4212280
4,20Z,42.11,1858580
5,20Z,148.42,7155780
9,20Z,921.81,6423980
4,219,694.51,32197
5,219,764.61,8327880
6,219,830.41,32197
8,219,111.41,3685380
1,244,331.21,32427
8,247,30.71,32480
5,248,19.51,450343
6,248,17.01,16227
2,24F,61.41,6312480
4,24F,236.71,6312580
7,262,246.42,8940680
8,262,436.91,32629
0,263,96.91,2802880
8,280,773.42,32809
2,412,15.61,8649080
1,41L,58.01,4266380
6,41P,797.71,4266380
1,41R,307.71,2311780
0,42L,719.92,7046380
3,45C,807.01,34500000
5,45C,699.32,3450000
9,45C,220.61,3450000
1,45E,375.41,3450000000
4,45F,777.41,7515880
0,45G,462.91,8406580
2,45G,761.11,8406580
5,45G,479.22,5672080
9,45G,627.21,6731880
4,48S,179.21,8947880
7,48T,241.11,7997980
5,49H,107.61,1226180
9,49N,4.71,697380
4,553,22.91,35567
5,553,32.11,35566
0,554,39.01,35568
6,555,23.91,35568
2,558,75.51,35585
5,559,32.61,1410280
3,617,81.31,644180
4,61P,97.71,6496880
5,61P,178.51,6496980
7,61Q,726.01,6496880
8,61Q,726.01,6496980
8,61S,439.51,7425780
1,61T,225.01,8392380
A,63A,631.71,9450780
W,63A,355.51,1174180
X,63A,501.61,8730480
2,661,32.61,7999780
2,701,211.41,37041
8,701,133.91,37038
9,701,287.31,37037
3,702,382.81,37039
4,702,325.81,37040
0,703,783.61,37020
1,703,597.91,37010
4,704,574.51,37057
5,704,200.21,8115380
8,704,197.71,8115680
0,705,737.91,559380
5,705,384.31,559380
0,75L,497.61,9028780
7,75N,923.92,170945
2,75P,515.01,7062780
1,75R,643.71,7063180
4,75R,653.31,288180
6,75R,43.81,7518880
7,75R,377.01,1647280
8,75R,660.22,6838080
9,75R,394.52,9028780
1,75S,481.31,3194280
5,75T,132.91,9028780
8,762,219.61,37641
9,763,114.01,37646
2,764,27.31,8678180
5,764,119.31,37646
4,765,121.81,5955780
6,765,160.21,37660
7,765,152.01,37674
8,765,124.21,37673
9,765,278.11,37675
4,766,92.51,2802280
6,777,24.41,37784
7,777,54.11,37784
8,777,79.41,37784
3,778,10.21,37784
6,778,215.81,692289
6,793,605.42,37962
7,793,801.61,37942
9,793,790.82,37962
1,794,951.02,37962
7,794,984.62,37968
8,794,863.71,37991
1,795,827.32,37969
3,795,253.62,37962
4,795,365.31,37974
6,795,70.31,4001880
8,795,5.81,37989
9,795,344.71,1706980
7,796,122.21,37996
0,797,421.12,7995780
2,797,815.11,37980
5,797,476.71,683680
7,797,517.21,683680
8,797,965.11,37995
9,797,561.91,1706980
5,798,924.21,6878180
8,798,924.21,6879480
0,799,794.41,4723880
3,799,143.52,7995780
4,799,924.21,8774480
4,79A,389.51,3221880
6,79A,558.51,4629680
0,802,62.81,38033
2,802,93.01,38024
5,802,75.51,7044780
7,802,50.21,7044780
1,808,237.21,2802980
V,82G,924.21,1280580
W,82G,469.31,1280680
N,82L,235.71,1721080
V,82L,246.41,8366780
W,82N,291.91,6489380
G,82P,396.11,7154980
H,82P,124.41,7155080
K,82P,815.61,1280580
T,82P,744.01,5348580
W,82P,818.51,3399880
X,82P,566.31,3400180
P,82Q,954.71,7404780
S,82Q,231.71,3684880
A,82R,323.61,5064380
C,82R,589.11,6514080
E,82R,429.71,5064380
3,82V,228.91,1431580
4,833,356.81,38346
